# accounts_extended.txt — AI Influence Digest Account Configuration
# Sprint: sprint-20260522-ai-influence-digest-scan
# Total accounts: 200
#
# Format: TSV (tab-separated)
# Columns: tier  category  handle  display_name  notes  enabled  rotation_group
#
# Field definitions:
#   tier            : 1 (mandatory every run) | 2 (rotated/sampled weekly)
#   category        : semantic grouping for filtering and reporting
#   handle          : X/Twitter handle (without @)
#   display_name    : human-readable name or org name
#   notes           : free-text context (optional, may be empty)
#   enabled         : true | false (disabled accounts are skipped)
#   rotation_group  : A-G for Tier 2 (7-day rotation), blank for Tier 1
#
# Rotation schedule: each group is scanned on one day per week (Mon=A, Tue=B, ...)
#   Plus random补充 from other groups to fill daily quota.
#   Goal: every enabled Tier 2 account scanned at least once per 7 days.
#
# Tier 1 (57 accounts): mandatory every run, no rotation.
# Tier 2 (143 accounts): 7 rotation groups, rate-limited by daily rotation.
#
# Parser contract:
#   - Lines starting with # are comments, skip.
#   - Blank lines are skipped.
#   - First non-comment non-blank line is the header.
#   - Fields are tab-separated.
#   - Parse as: tier(int), category(str), handle(str), display_name(str), notes(str), enabled(bool), rotation_group(str)
#   - enabled: "true" or "false" (case-insensitive).
#   - Tier 1 accounts have rotation_group="" (empty).
#
# Coverage summary:
#   Tier 1: 57 accounts (core leaders, research, labs, open-source, safety, agent coding)
#   Tier 2: 143 accounts (rotated across chip, agent, multimodal, investment, Chinese circle, safety, infra)
#   Total: 200 accounts

tier	category	handle	display_name	notes	enabled	rotation_group
1	core_leader	sama	Sam Altman	CEO OpenAI	true	
1	core_leader	karpathy	Andrej Karpathy	AI educator, former Tesla/OpenAI	true	
1	core_leader	ylecun	Yann LeCun	Chief AI Scientist Meta	true	
1	core_leader	demishassabis	Demis Hassabis	CEO Google DeepMind	true	
1	core_leader	gdb	Dario Amodei's co-CEO alias	Anthropic CEO	true	
1	core_leader	ilyasut	Ilya Sutskever	SSI founder, former OpenAI	true	
1	core_leader	AndrewYNg	Andrew Ng	Coursera, Landing AI, Stanford	true	
1	core_leader	drfeifei	Fei-Fei Li	Stanford HAI, World Labs	true	
1	core_leader	jimkellerpa	Jim Keller	Chip architect, Tenstorrent	true	
1	core_leader	aravind	Aravind Srinivas	CEO Perplexity	true	
1	core_leader	mustafasuleyman	Mustafa Suleyman	CEO Microsoft AI	true	
1	core_leader	fchollet	François Chollet	Keras creator, ARC Prize	true	
1	core_leader	darioamodei	Dario Amodei	CEO Anthropic	true	
1	core_leader	clemens_	Clemens Mewald	xAI	true	
1	core_leader	JeffDean	Jeff Dean	Google AI, Gemini	true	
1	core_leader	AnthropicAI	Anthropic Official	Lab account	true	
1	paper_research	_akhaliq	AK	ML paper aggregator, fastest arxiv surfacer	true	
1	paper_research	_jasonwei	Jason Wei	Chain-of-thought, OpenAI	true	
1	paper_research	DrJimFan	Jim Fan	NVIDIA Research, robotics	true	
1	paper_research	chrmanning	Chris Manning	Stanford NLP	true	
1	paper_research	AidanGomez	Aidan Gomez	Cohere CEO, Transformer co-author	true	
1	paper_research	NoamBrown	Noam Brown	OpenAI, game AI & reasoning	true	
1	paper_research	quocle	Quoc Le	Google Brain, scaling	true	
1	paper_research	OriolVinyalsML	Oriol Vinyals	Google DeepMind, Gemini	true	
1	paper_research	hardmaru	hardmaru	Google Brain, creative ML	true	
1	paper_research	denny_zhou	Denny Zhou	Google, reasoning & CoT	true	
1	ai_lab	OpenAI	OpenAI Official	OpenAI lab account	true	
1	ai_lab	GoogleDeepMind	Google DeepMind Official	Lab	true	
1	ai_lab	deepseek_ai	DeepSeek Official	Lab	true	
1	ai_lab	GoogleAI	Google AI Official	Lab	true	
1	ai_lab	Alibaba_Qwen	Qwen Team	Alibaba LLM	true	
1	ai_lab	Kimi_Moonshot	Moonshot AI / Kimi	Lab	true	
1	ai_lab	MiniMax_AI	MiniMax Official	Lab	true	
1	ai_lab	Hailuo_AI	Hailuo / MiniMax video	Lab	true	
1	ai_lab	midjourney	Midjourney Official	Lab	true	
1	ai_lab	MetaAI	Meta AI Official	Lab	true	
1	open_source	ThomasWolf7	Thomas Wolf	HuggingFace co-founder	true	
1	open_source	ArthurMensch	Arthur Mensch	Mistral CEO	true	
1	open_source	ggerganov	Georgi Gerganov	llama.cpp creator	true	
1	open_source	tri_dao	Tri Dao	FlashAttention	true	
1	open_source	answerdotai	Answer.AI	Jeremy Howard's AI lab	true	
1	open_source	Teknium1	Teknium	Open-source AI, OpenHermes	true	
2	chip_semiconductor	dylan522p	Dylan Patel	SemiAnalysis, chip analysis	true	A
2	chip_semiconductor	LisaSu	Lisa Su	AMD CEO	true	A
2	chip_semiconductor	NVIDIA	NVIDIA Official	GPU & AI chips	true	A
2	chip_semiconductor	AMD	AMD Official	Semiconductor	true	A
2	chip_semiconductor	Arm	Arm Official	Chip architecture	true	A
2	chip_semiconductor	asmlholding	ASML Official	EUV lithography	true	A
2	chip_semiconductor	Asianometry	Asianometry	Tech analysis YouTube	true	A
2	chip_semiconductor	Intel	Intel Official	Semiconductor & AI	true	A
2	chip_semiconductor	TSMC	TSMC Official	Foundry	true	A
2	chip_semiconductor	SKhynix_KR	SK Hynix Official	Memory chips	true	A
2	chip_semiconductor	broadcom	Broadcom Official	Semiconductor	true	A
2	chip_semiconductor	qualcomm	Qualcomm Official	Mobile & AI chips	true	A
2	chip_semiconductor	coreteks	Coreteks	Chip analysis	true	A
2	chip_semiconductor	mehrspokemon	Karl Freund	Cambrian AI Research	true	A
2	chip_semiconductor	MooreAndStrat	Moore Insights & Strategy	Chip analysis	true	A
2	agent_coding	itak_	Itak	AI agent builder	true	B
2	agent_coding	swyx	swyx	AI engineering, Latent Space	true	B
2	agent_coding	mckaywrigley	McKay Wrigley	AI tutorials & agents	true	B
2	agent_coding	amanrsanger	Aman Sanger	AI coding tools	true	B
2	agent_coding	LangChainAI	LangChain Official	Agent framework	true	B
2	agent_coding	crewAIInc	CrewAI Official	Agent framework	true	B
2	agent_coding	llamaindex_ai	LlamaIndex Official	RAG framework	true	B
2	agent_coding	FlowiseAI	Flowise Official	Visual AI builder	true	B
2	agent_coding	phidatahq	PhiData Official	AI agent framework	true	B
2	agent_coding	replit	Replit Official	Coding platform	true	B
2	agent_coding	cursor_ai	Cursor Official	AI code editor	true	B
2	agent_coding	aider_ai	Aider Official	AI pair programming	true	B
2	agent_coding	bolt_new	Bolt Official	AI web builder	true	B
2	agent_coding	WindsurfAI	Windsurf Official	AI code editor	true	B
2	agent_coding	OpenAIDevs	OpenAI Developers	Developer updates	true	B
2	agent_coding	v0_build	v0 by Vercel	AI UI builder	true	G
2	agent_coding	babyAGI	babyAGI	Agent research	true	G
2	agent_coding	Mathemagic1an	Mathemagic1an	AI/ML tools	true	G
2	agent_coding	skirano	skirano	AI development	true	G
2	agent_coding	ChatGPTapp	ChatGPT Official	App & tool updates	true	G
